Continent,Country,Capital,Cost of Living Index,Rent Index,Groceries Index,Local Purchasing Power Index,Restaurant Price Index,"Meal, Inexpensive Restaurant (USD)","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal) (USD),"Domestic Beer (0.5 liter draught, in restaurants) (USD)","Imported Beer (0.33 liter bottle, in restaurants) (USD)","Cappuccino (regular, in restaurants) (USD)","Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)","Water (0.33 liter bottle, in restaurants) (USD)","Milk (regular), (1 liter) (USD)",Loaf of Fresh White Bread (500g) (USD),"Rice (white), (1kg) (USD)",Eggs (regular) (12) (USD),Local Cheese (1kg) (USD),Chicken Fillets (1kg) (USD),Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD),Apples (1kg) (USD),Banana (1kg) (USD),Oranges (1kg) (USD),Tomato (1kg) (USD),Potato (1kg) (USD),Onion (1kg) (USD),Lettuce (1 head) (USD),"Water (1.5 liter bottle, at the market) (USD)","Bottle of Wine (Mid-Range, at the market) (USD)","Domestic Beer (0.5 liter bottle, at the market) (USD)","Imported Beer (0.33 liter bottle, at the market) (USD)",Cigarettes 20 Pack (Marlboro) (USD),One-way Ticket (Local Transport) (USD),Monthly Pass (Regular Price) (USD),Taxi Start (Normal Tariff) (USD),Taxi 1km (Normal Tariff) (USD),Taxi 1hour Waiting (Normal Tariff) (USD),Gasoline (1 liter) (USD),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)","Fitness Club, Monthly Fee for 1 Adult (USD)",Tennis Court Rent (1 Hour on Weekend) (USD),"Cinema, International Release, 1 Seat (USD)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)","International Primary School, Yearly for 1 Child (USD)",1 Pair of Jeans (Levis 501 Or Similar) (USD),"1 Summer Dress in a Chain Store (Zara, H&M, …) (USD)",1 Pair of Nike Running Shoes (Mid-Range) (USD),1 Pair of Men Leather Business Shoes (USD),Apartment (1 bedroom) in City Centre (USD),Avg rent(1 bedroom),Apartment (1 bedroom) Outside of Centre (USD),Avg rent(3 Bedroom),Apartment (3 bedrooms) in City Centre (USD),Apartment (3 bedrooms) Outside of Centre (USD),Avg Price per SQ/Mtr,Price per Square Meter to Buy Apartment in City Centre (USD),Price per Square Meter to Buy Apartment Outside of Centre (USD),Average Monthly Net Salary (After Tax) (USD),"	Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Data quality
Asia,India,New Delhi,24.43,5.3,26.43,49.72,49.72,4.9,22.04,4.28,1.84,3.67,1.78,0.48,0.19,0.73,0.51,0.88,1.01,4.32,3.79,5.57,1.8,0.75,1.01,0.6,0.36,0.41,0.7,0.36,9.79,1.53,2.51,4.28,0.49,11.63,0.61,0.22,1.22,1.25,12242.64,22972.31,57.37,0.01,7.96,21.07,8.47,4.9,73.76,1985.7,32.05,33.34,49.35,36.26,223.87,178.625,133.38,460.99,596.16,325.82,1844.18,2619.46,1068.9,586.35,7.96,1
Asia,Indonesia,Jakarta,35.85,9.82,38.29,21.07,21.07,2.54,22.25,3.5,2.02,3.18,2.19,0.59,0.27,1.28,1.21,0.83,1.7,6.66,3.46,8.32,2.8,1.52,2.08,1.24,1.35,2.1,1.13,0.42,20.66,2.06,3.18,2.22,0.22,9.53,0.41,0.29,2.86,0.79,25489.74,27978.73,80.12,0.11,30.45,30.86,11.71,3.18,132.74,9934.37,38.87,25.95,72.89,80.32,482.85,376.5,270.15,851.03,1117.69,584.37,1981.745,2694.05,1269.44,483.19,9.15,1
Asia,Philippines,Manila,37.06,9.59,37.84,21.47,21.47,3.54,27.4,3.54,1.24,1.9,2.91,0.93,0.51,1.63,1.19,0.89,1.73,5.06,4.19,6.64,2.66,1.42,2.95,1.42,1.76,1.75,1.36,0.65,8.84,1.15,1.55,2.65,0.53,11.86,0.71,0.24,2.12,1.38,22984.03,18200.6,97.45,0.15,38.02,48.09,5.85,5.48,254.89,10860.59,38.45,26.96,69.47,61.82,559.52,420.65,281.78,1219.605,1754.4,684.81,3066.24,3536.04,2596.44,419.02,7.8,1
Asia,South Korea,Seoul,73.22,20.02,91.95,76.85,76.85,7.16,52.77,6.03,3.02,4.52,3.86,1.46,0.78,2.13,2.78,3.66,4.02,11.13,10.62,40.41,6.79,3.7,6.4,6.36,3.86,2.81,2.4,1.06,15.08,2.1,2.49,3.39,0.98,41.47,2.86,0.9,9.05,1.41,28648.67,26851.06,176.24,0.16,22.06,54.84,17.99,9.42,384.01,18283.99,56.99,45.49,70.21,108.3,809.83,696.715,583.6,2152.395,2621.05,1683.74,16340.42,21847.94,10832.9,2672.23,3.47,1
Asia,Thailand,Bangkok,43.21,14.69,45.15,31.56,31.56,2.6,28.09,5.62,2.25,4.21,2.06,0.5,0.26,1.61,1.86,1.44,1.96,15.94,3,11.51,2.83,1.43,1.83,1.42,1.4,1.2,1.16,0.46,19.66,1.61,2.83,4.21,1.24,36.52,0.98,1.21,5.2,1.18,56184.95,25441.43,77.59,0.04,15.08,54.94,9.78,7.44,499.64,14138.64,55.5,36.41,82.87,93.22,584.77,432.845,280.92,1455.225,1994.97,915.48,3867.045,5229.36,2504.73,615.33,5.64,1
Asia,China,Beijing,41.77,16.53,46.01,59.99,59.99,4.19,30.73,5.59,1.4,4.05,4.55,0.51,0.43,1.97,2.07,1.2,1.85,12.66,3.94,12.56,1.95,1.84,1.91,1.45,0.88,0.97,0.85,0.63,11.87,1.01,2.4,4.19,0.7,41.9,1.96,0.42,11.17,1.18,23745.34,22024.35,53.68,0.04,20.28,55.84,29.8,8.38,941.31,26804.96,65.28,42.74,84.19,117.38,1176.59,918.595,660.6,2079.435,2732.46,1426.41,13457.035,17450.87,9463.2,1514.55,5,1
Asia,Bangladesh,Dhaka,33.13,4.42,30.41,25.3,25.3,1.87,11.24,4.68,5.62,4.92,1.89,0.27,0.15,0.79,0.64,0.67,1.25,6.92,2.99,6.9,2.28,1,2.09,0.92,0.27,0.47,0.38,0.26,5.15,2.22,5.88,3,0.44,17.79,0.94,0.37,2.81,1.05,37453.64,27843.83,35.87,0.01,22.17,16.55,13.6,4.68,62.42,1463.93,20.65,23.91,48.74,39.86,136.4,110.335,84.27,266.885,333.63,200.14,821.735,1094.67,548.8,269.47,9.2,1
Asia,Japan,Tokyo,77.03,25.86,81.31,87.11,87.11,7.22,43.31,5.05,4.3,5.05,3.42,1.21,0.82,1.37,1.6,3.33,1.88,14.75,8.05,22.71,7.02,3,5.77,5.13,4.4,3.99,1.45,0.96,8.66,2.08,2.73,4.33,1.44,72.19,3.39,3,24.46,1.2,19491.54,16910.26,166.02,0.36,31.85,71.61,25.78,12.99,536.92,15370.09,44.86,36.49,62.62,102.68,1105.83,872.12,638.41,1869.155,2424.17,1314.14,7138.895,9062.18,5215.61,2776.24,1.13,1
Europe,Russia,Moscow,35.26,13.09,29.86,37.41,37.41,13.1,65.5,6.55,4.09,4.09,3.42,1.3,0.74,1.43,0.86,1.94,1.87,13.1,5.85,11.54,1.77,1.31,1.85,2.74,0.8,0.75,1.51,0.84,11.46,1.18,2.51,3.28,0.84,39.3,2.69,0.25,8.73,0.87,35208.38,39129.73,150.58,0.04,8.37,53.49,34.01,8.19,642.86,11901.56,107.25,64.25,139.32,152.61,1167.72,920.885,674.05,1717.89,2240.93,1194.85,6105,7920.06,4289.94,1480.16,10.27,1
North America,Mexico,Mexico City,35.35,12.55,34.82,38.62,38.62,7.78,39.95,6.75,2.59,4.1,2.75,1.03,0.75,1.33,2,1.47,1.98,7.8,6.27,9.49,2.51,1.32,1.46,1.5,1.58,1.47,0.99,0.83,11.42,1.39,2.57,3.63,0.31,15.79,1.04,0.49,7,1.21,19977.17,20108.93,49.15,0.1,27.5,46.8,21.14,4.67,347.96,7398.73,51.81,36.22,84.19,85.69,789.83,636.94,484.05,1196.495,1498.8,894.19,2246.32,2786.32,1706.32,734.39,10.57,1
Africa,Egypt,Cairo,29.52,5.82,27.42,21.54,21.54,4.07,20.36,4.07,1.63,2.55,1.76,0.26,0.15,0.82,0.51,0.7,1.29,3.29,4,7.55,1.21,0.65,0.4,0.31,0.34,0.27,0.24,0.22,8.15,1.28,1.93,2.04,0.29,12.22,0.41,0.14,1.02,0.39,20567.75,21163.23,26.99,0.01,16.55,23.82,8.5,4.48,146.93,2933.28,39.82,38.3,90.72,47.25,197.56,155.775,113.99,315.635,396.99,234.28,462.77,544.64,380.9,202.53,10.93,1
South America,Argentina,Buenos Aires,34.69,7.71,28.17,30.72,30.72,6.4,25,5,1.79,2.4,1.75,1,0.81,0.77,1.28,0.95,1.38,6.54,4,6.42,1.35,1.19,0.73,1.41,0.64,0.73,1.06,0.74,3.73,1.24,1.95,2,0.15,10,1,0.52,4.78,0.97,26700,23229.18,48.19,0.24,21.87,23.63,8.57,5,227.64,4891.47,68.63,44.81,99.89,89.76,308.45,267.145,225.84,536.015,627.35,444.68,2296.37,2518.29,2074.45,395.95,44.23,1
Asia,Iran,Tehran,37.39,17.05,29.46,17.98,17.98,4,29.19,4.96,0.88,1.94,1.49,0.88,0.76,0.81,0.53,3.79,1.32,4.13,3.2,8.1,1.15,1.41,1.11,0.67,0.6,0.51,0.51,0.31,1,0.5,1.25,3,0.36,15,0.5,0.36,3,0.72,65000,54950.14,21.13,0.01,13.79,20.43,15.59,1.5,131.35,1607.66,51.93,46.53,141.23,91.89,539.97,477.495,415.02,1167.32,1392.01,942.63,1722.41,2173.2,1271.62,294.97,20.09,1
Europe,France,Paris,74.13,25.33,73.64,85.41,85.41,15.58,62.32,10.39,7.27,6.23,3.8,2.84,2.4,1.25,2.08,2.17,3.58,17.2,12.68,22.13,3.02,2.04,2.76,3.69,2.15,2.16,1.49,0.83,8.31,2.08,2.98,10.91,1.97,77.9,5.19,1.9,47.26,2.1,22851.33,28272.02,197.79,0.17,30.52,37.16,13.67,12.46,780.6,17064.3,101.55,40.47,92.98,136.99,1325.47,1151.865,978.26,2493.45,2968.63,2018.27,10948.295,12811.7,9084.89,2741.22,1.67,1
Europe,United Kingdom,London,69.65,31.84,56.58,88.78,88.78,18.02,80.48,8.41,7.09,6.01,3.96,2.01,1.64,1.32,1.24,2.09,2.86,7.76,7.93,11.68,2.5,1.5,2.21,2.8,1.37,1.41,1.01,1.38,10.81,2.31,2.82,15.62,3.12,180.18,4.8,2.04,34.59,2.11,27627.06,27839.82,288.5,0.12,35.29,51.32,14.26,15.62,1822.07,20834.96,88.55,40.49,89.98,105.4,2311.99,1990.59,1669.19,3303.15,3875.48,2730.82,11230.05,14554.52,7905.58,3905.7,2.91,1
South America,Peru,Lima,32.53,11.22,30.71,28.17,28.17,3.84,23.06,5.12,2.05,3.84,2.57,0.83,0.54,1.19,1.8,1.08,1.78,6.82,4.93,8.05,1.54,1.01,0.97,0.97,0.72,0.86,0.71,0.73,7.69,1.57,2.29,4.87,0.51,15.37,2.56,1.41,6.92,1.28,17937.43,21297.25,69.32,0.18,30.03,35.74,12.24,5.38,207.03,5901.41,44.19,27.72,69.88,67.11,503.19,421.1,339.01,809.895,941.31,678.48,1674.75,1939.15,1410.35,458.59,8.41,1
Asia,Vietnam,Hanoi,37.48,13.22,38.7,29.38,29.38,2.02,20.03,5.21,0.81,1.62,1.89,0.43,0.27,1.34,0.91,0.99,1.48,10.48,3.48,10.22,2.67,1.07,1.53,1.14,0.98,1.13,0.76,0.57,7.07,0.8,1.55,1.41,0.28,8.08,0.63,0.48,3.23,1.09,40387.72,32570.45,74.07,0.09,9.63,26.05,6.87,4.04,238.96,12674.44,37.25,30.29,74.04,59.37,339.98,278.43,216.88,667.395,858.97,475.82,1752.705,2233.2,1272.21,495.81,9.71,1
South America,Chile,Santiago,43.9,13.51,38.87,33.27,33.27,8.76,43.79,6.57,3.28,3.83,2.47,1.07,0.89,1.02,1.28,1.41,2.79,9.42,5.52,10.4,1.63,1.37,1.55,1.76,1.15,1.13,1.01,1.07,4.93,1.26,1.9,4.82,0.88,43.79,0.38,1.09,8.7,1.28,14395.97,16991.41,131.14,0.07,23.14,32.44,14.42,5.47,381.48,6193.98,46.82,27.61,57.87,69.6,440.02,425.905,411.79,807.285,817.13,797.44,2204.085,2204.83,2203.34,612.9,6.09,1
Asia,Saudi Arabia,Riyadh,50.41,11.67,42.57,91.85,91.85,6.65,53.22,6.92,1.6,1.86,3.84,0.78,0.23,1.81,0.86,2.21,2.74,6.79,7.52,12.07,2.12,1.66,1.63,2,1.26,1.17,1.03,0.62,5.32,1.95,1.84,7.45,1.06,31.93,3.99,1.33,13.31,0.61,23949.13,20849.04,93.64,0.15,71.89,99.6,47.23,17.3,396.2,6953.5,46.49,62.45,107.05,91.58,745.33,607.055,468.78,872.645,987.83,757.46,1455.86,1762.01,1149.71,2212.23,3.95,1
Asia,Iraq,Baghdad,34.47,10.63,30.46,40.92,40.92,4.72,22.85,8,1.83,3.5,2.45,0.46,0.2,1,0.79,1.21,1.64,4.28,4.13,9.96,0.85,0.96,0.89,0.61,0.6,0.51,0.73,0.52,12.3,1.52,2.26,1.71,0.35,25.2,3,2,5.02,0.35,16000,16831.23,123.31,0.09,58.46,34.73,14.24,7,135.38,1709.02,25.09,29.61,50.21,35.95,432.77,342.005,251.24,628.625,798,459.25,1514.225,2099.93,928.52,520.92,8.38,1
Europe,Spain,Madrid,53.88,21.25,45.69,70.04,70.04,12.46,51.93,8.31,3.64,3.64,2.2,2.33,1.66,0.89,1.08,1.2,2.38,10.5,7.34,11.9,2.09,1.88,1.71,1.9,1.25,1.4,1.04,0.72,5.19,1.03,1.58,5.19,1.56,56.66,3.64,1.14,22.85,1.98,25967.42,25042.03,163.71,0.17,37.21,42.61,12.09,9.35,513.51,9538.7,75.35,34.62,78.15,95.09,1041.06,934.275,827.49,1534.51,1781.48,1287.54,4568.44,5469.86,3667.02,2022.6,2.29,1
Africa,Kenya,Nairobi,33.92,8.73,31.27,32.18,32.18,4.08,32.67,5.88,2.04,3.27,2.24,0.54,0.45,0.95,0.51,1.54,1.39,11.62,5.8,4.64,2.33,0.92,1.8,0.95,0.91,0.98,0.62,0.74,10.82,1.96,2.42,2.45,0.82,30.62,2.45,1.11,2.45,1.18,16741.53,17049.85,28.23,0.03,54.96,48.51,16.7,6.53,168.98,9761.49,17.06,22.59,43.19,43.06,406.29,295.475,184.66,704.51,981.35,427.67,1016.005,1417.93,614.08,456.19,12.65,1
North America,United States,New York,100,42.07,70.37,106.34,106.34,18,80,9,7.25,8,4.82,2.47,2.12,1.01,3.24,4.53,3.48,13.85,11.91,16.56,5.52,1.97,5.53,6.4,3.41,3.1,2.31,2.2,15,3.11,3.75,11,2.75,102,5,1.34,35,1.24,24190,21599.78,166.57,0.17,58.45,86.88,18.33,13.99,"2,408.24","40,818.18",54.7,33.42,96.75,132,"3,884.00",3149.255,"2,414.51",7297.03,"7,297.03","	4052.87","14,950.51","14,950.51","	9,720.64","6,194.38",5.68,1
Asia,Singapore,Singapore,83.98,66.43,77.08,91.34,91.34,10.92,60.06,5.82,7.28,8.74,4.44,1.46,1.04,2.57,1.96,2.7,2.78,19.61,8.63,20.49,3.69,2.58,3.7,2.88,2.18,2.13,1.81,1.39,21.84,4.47,5.23,10.92,1.46,93.19,2.91,0.73,14.56,2.32,109206.71,97513.44,142.65,0.17,34.37,104.81,12.05,10.92,1089.57,24842.05,73.04,41.68,103.93,112.61,2660.73,2313.225,1965.72,4392.07,5317.61,3466.53,15440.515,20481.89,10399.14,4497.08,2.43,1
Asia,Afghanistan,Kabul,20.37,2.72,14.92,23.04,23.04,1.67,5.56,3.06,0,0,0.92,0.22,0.13,0.59,0.23,1.21,1.18,3.33,2.49,5.3,0.72,0.9,1.09,0.48,0.29,0.23,0.22,0.32,11.11,0.85,1.56,1.83,0.22,15,1.11,0.56,2.22,0.87,6667.7,11112.84,31.46,0.04,703.81,13.34,11.11,2.5,25.56,1466.89,17.78,17.07,30,35.56,107.12,85.51,63.9,191.7,238.93,144.47,516.745,683.44,350.05,192.62,13.88,1
Asia,Jordan,Amman,49.19,9.23,40.81,31.34,31.34,5.64,42.31,7.05,7.05,7.05,4.08,0.54,0.39,1.47,0.52,1.67,1.97,7.43,6.17,11.59,2.05,1.78,1.54,0.75,0.96,0.74,0.65,0.56,21.16,5.1,6.22,3.53,0.71,49.37,0.49,1.06,7.05,1.37,35260.93,33359.14,74.85,0.04,36.95,60.58,29.87,11.28,222.58,6011.7,58.21,66.22,101.37,87.75,353.31,312.775,272.24,547.035,624.84,469.23,1063.43,1296.81,830.05,644.1,7.53,1
Europe,Germany,Berlin,65.58,27.62,52.31,103.08,103.08,12.46,62.32,9.35,4.15,4.15,3.33,2.47,1.91,1.17,1.67,2.39,2.98,12.14,9.73,14.22,2.7,1.82,2.52,3.09,1.98,1.48,1.4,0.68,5.71,1.11,1.59,8.31,3.12,88.29,4.15,2.23,34.28,2.14,27006.11,28068.05,302.6,0.11,39.91,40.44,19.5,12.46,163.72,8828.92,86.72,36.66,84.97,108.49,1307.95,1130.655,953.36,2066.395,2410.4,1722.39,7040.035,8481.5,5598.57,3086.47,2.16,1
Africa,Algeria,Algiers,26.87,4.59,28.82,24.63,24.63,2.71,21.67,4.69,1.81,2.27,0.95,0.5,0.19,0.87,0.16,1.18,1.42,7.7,4.28,11.5,2.47,2.96,1.3,0.8,0.59,0.39,0.58,0.25,6.68,1.52,1.88,2.38,0.29,10.83,0.36,0.36,4.33,0.31,28886.91,26975.2,48.3,0.07,27.74,20.32,13.13,5.06,102.17,3206.45,37.35,43.04,77.24,82.58,234.19,180.95,127.71,346.07,437.94,254.2,1346.755,1632.82,1060.69,287.71,7.02,1
Africa,Ethiopia,Addis Ababa,47.49,16.88,36.68,10.15,10.15,7.6,30,4,0.75,1.3,0.78,0.72,0.47,0.91,0.57,1.98,2.11,8.12,8.09,8.87,3.19,0.87,1.66,0.81,0.46,0.66,0.42,0.39,8.15,0.96,1.23,4,0.3,12,1.42,0.4,3,0.75,33000,49195.71,168.33,0.02,202.38,57.25,35,4,78.15,26666.67,24.09,53.82,63.11,57.74,466.89,354.945,243,1182.345,1693.09,671.6,1228.09,1457.18,999,194.78,16.54,1
Asia,Kuwait,Kuwait City,48.68,31.31,35.63,78.57,78.57,6.5,55.29,6.5,2.6,3.25,4.68,0.47,0.27,1.34,0.75,1.91,1.78,3.84,5.09,10.18,2.2,1.86,1.86,1.24,1.06,0.92,1.3,0.51,5.2,1.31,1.28,2.93,0.98,39.84,4.47,3.25,9.76,0.34,22441.14,16207.49,43.91,0.13,28.93,124.39,40.98,11.38,382.6,6678.91,49.39,54.14,97.57,117.73,925.2,788.69,652.18,1621.89,1895.77,1348.01,4470.985,5852.25,3089.72,1936.14,5.67,1
North America,Guatemala,Guatemala City,43.49,15.6,41.92,26.35,26.35,5.75,33.52,5.75,1.92,3.19,2.35,1.09,0.85,1.66,1.97,1.5,2.08,5.25,6.06,9.52,3.21,1.01,2.47,1.72,1.58,1.66,0.81,1,8.94,1.25,2.06,3.44,0.51,10.53,3.51,0.64,13.73,1.08,17876,22143.99,88.43,0.19,46.93,51.78,19.99,6.38,206.12,5171.27,55.9,55.33,98.32,110.27,575.54,489.175,402.81,883.71,1066.62,700.8,1249.71,1538.61,960.81,437.68,7.89,1
Europe,Italy,Rome,66.47,20.55,57.95,61.74,61.74,16.1,72.71,9.04,5.19,5.19,1.47,2.05,1.15,1.58,1.6,2.19,3.48,16.16,9.74,15.47,2.39,1.88,2.38,2.64,1.58,1.55,1.13,0.53,6.75,1.49,2.28,6.23,1.56,36.35,4.41,1.14,31.16,2.04,25967.42,28245.13,194.77,0.21,28.84,52.37,18.89,9.35,484.03,9030.82,82.22,36,94.75,114.59,1055.02,886.33,717.64,1800.19,2251.75,1348.63,5279.125,7023.57,3534.68,1549.17,1.91,1
Asia,Taiwan,Taipei,62.35,17.69,76.19,58.35,58.35,5.82,38.77,4.85,1.94,2.91,2.99,1.02,0.66,3.08,1.89,2.99,3.21,16.28,8.59,18.65,4.08,2.11,2.7,3.31,2.7,2.4,1.76,1.1,12.92,1.58,2.5,4.2,0.81,41.35,2.42,0.81,9.69,1,30982.96,24693.75,81.28,0.16,25.83,39.34,14.09,10.34,665.95,14540.33,75.63,31.56,90.18,117.5,663.07,546.525,429.98,1230.435,1455.64,1005.23,11359.83,14608.77,8110.89,1852.65,1.65,1
North America,Dominican Republic,Santo Domingo,41.77,9.59,38.45,21.07,21.07,9.04,37.99,7.24,2.71,4.52,2.05,0.84,0.54,1.29,2.12,1.24,2.19,6.92,5.49,10.44,2.45,0.67,2.4,1.17,1.51,2.34,0.79,1.19,10.85,2.45,3.54,4.53,0.63,46.79,3.62,3.07,5.43,1.25,27132.14,31890.4,86.02,0.26,46.35,39.55,14.05,5.88,188.79,4205.48,60.49,44.39,99.48,97.68,899.92,634.915,369.91,1088.125,1548.19,628.06,1137.64,1433.76,841.52,454.97,12.08,1
Asia,Uzbekistan,Tashkent,27.31,9.29,26.83,22.37,22.37,5,30,3.5,1.2,2.75,1.55,0.6,0.3,0.99,0.42,1.33,1.46,5.95,3.57,7.25,1.45,1.72,2.41,1.47,0.49,0.36,0.3,0.3,3.5,1.11,2.17,1.88,0.13,14.09,0.5,0.27,4.55,0.91,13508.25,19690.73,42.75,0.02,19,42.32,7.45,4.25,217.38,5622.48,54.15,52.13,95.4,96.89,437.67,368.405,299.14,681.45,834.8,528.1,906.24,1206.66,605.82,327.62,20.4,1
Africa,Ghana,Accra,36.2,19.31,37.53,16.82,16.82,2.4,25.67,4.28,0.68,1.37,1.4,0.49,0.17,1.08,0.59,0.86,0.97,6.68,2.39,2.58,1.39,0.65,0.74,1.22,1.26,1,0.55,0.28,2.74,0.55,0.71,1.03,0.4,17.46,0.68,0.68,2.4,0.62,5339.61,4097.61,25.63,0.03,30.06,26.17,3.15,3.59,51.34,4064.04,8.81,7.56,17.64,20.82,571.18,305.335,39.49,740.64,1309.8,171.48,2994.375,1119.78,4868.97,181.72,25.5,1
Asia,Azerbaijan,Baku,29.73,7.86,26.57,27.26,27.26,5.88,29.41,5.88,1.18,2.35,2.84,0.52,0.32,1.24,0.41,1.85,1.31,4.23,3.92,7.33,0.88,1.5,1.51,1.28,0.64,0.44,0.48,0.53,5.88,1.24,2.26,2.94,0.18,12.28,0.94,0.59,3.53,0.64,20588.24,22219.76,50.74,0.04,14.81,32.66,20.99,4.71,205.19,5043.8,45.5,42.66,96.11,66.6,321.77,250.77,179.77,475.785,621.54,330.03,1149.185,1568.34,730.03,402.82,9.15,1
Africa,Zimbabwe,Harare,45.68,8.75,39.88,19.07,19.07,7,40,6,1.3,2,2.2,0.72,0.47,1.61,1,1.51,1.8,8.08,4.9,4.71,2.86,1.52,1.88,1.42,1.56,1.33,0.78,0.91,8.5,1.2,2.29,2,0.5,30,5,2,10,1.5,25000,27666.67,60.67,0.21,105.25,35,9.17,6.5,288.89,7087.5,17.78,20,40.62,51.43,296.43,296.215,296,825,887.5,762.5,1422.05,1344.1,1500,272.22,15,1
North America,Cuba,Havana,55,15.23,47.93,1.45,1.45,10,40,7,2.5,3,1.91,2.28,1.63,3.52,1.18,1.85,1.64,4.85,6.07,11.59,6.24,1.1,1.12,2.05,1.82,2.34,0.86,0.98,10,1.49,1.71,3.5,0.1,20,1,0.5,15,1.14,80000,72500,36.25,0.29,165,16.67,13.75,1.12,70,15166.67,55.5,44.33,79.17,64.22,353.33,287.915,222.5,1177.5,1625,730,379.56,490.89,268.23,35.75,5.73,1
Asia,Cambodia,Phnom Penh,49.11,15.68,50.61,13.32,13.32,3.6,30,6.5,1,2.88,2.9,0.98,0.66,2.19,1.79,1.09,1.87,12.86,5.42,9.74,3.77,1.41,3.34,1.41,1.56,1.39,1.49,0.81,12,1.02,2.03,1.5,1,10.62,1,1,4,1.18,48000,44750,123,0.06,33.22,75.81,14.75,5,261.6,9062.5,22,17.62,88.57,39.38,530.94,426.305,321.67,1155.98,1499.23,812.73,1982.665,2339.5,1625.83,314.88,10.25,1
Africa,Somalia,Mogadishu,34.58,5.16,39.39,29.4,29.4,2,18,5.5,7,17.5,1.25,0.68,0.54,1.58,0.91,1.17,1.98,4.25,4.25,5.14,3.7,0.97,2.7,1.07,1,0.98,0.88,0.63,25,0,0.65,1.1,0.3,35,1,0.6,10,0.91,8750,6333.33,68.33,0.04,26,23.75,7.67,4,78.75,773.33,15.5,24.33,32,54.25,200,139.145,78.29,310.715,400,221.43,6027.49,6712.87,5342.11,406.67,7.75,1
South America,Ecuador,Quito,37.34,11.28,34.49,31.76,31.76,3.5,42.5,7,2.5,3.5,2.53,0.78,0.62,0.95,1.69,1.3,1.67,5.34,5.93,7.04,1.76,0.95,1.28,1.25,1.37,1.2,0.74,1,10,1.37,2.4,5.5,0.35,20.87,1.5,1.5,10,0.76,19990,27300,41.9,0.11,37.62,41.46,13.11,6.06,274.67,7465,54.06,46.67,100,81.07,445.83,341.82,237.81,572.49,665.29,479.69,1132.5,1285,980,462.19,10.25,1
Europe,Belarus,Minsk,30.89,9.81,27.24,31.78,31.78,9.89,43.8,5.14,1.25,1.98,1.76,0.82,0.52,0.81,0.63,1.48,1.44,7.08,4.24,8.04,1.57,2.01,1.92,2.86,0.83,0.78,1.61,0.66,7.91,1.09,2.04,1.78,0.34,19.35,1.58,0.2,5.93,0.92,19780.16,27830.3,59.02,0.05,13.95,34.55,18.4,4.75,462.36,6563.99,66.63,44.59,105.95,110.63,399.8,346.35,292.9,658.295,804.63,511.96,1583.63,1931.67,1235.59,547.78,19.54,1
South America,Venezuela,Caracas,43.2,9.99,37.34,15.41,15.41,10,50,10,1.5,2.25,1.74,1.07,0.81,1.83,2.33,1.13,2.07,5.31,5.44,6.25,4.1,1.07,1.48,1.32,1.53,1.58,1.03,1.21,7,1.25,1.92,3,0.35,30,4,2,11,0.5,32000,34125,12.37,0.07,49.38,45.64,14.12,6,75,6280,41.43,40,70.83,66.08,383.33,352.775,322.22,709.375,831.25,587.5,973.265,805.57,1140.96,196.11,27,1
Europe,Austria,Vienna,71.04,27.13,65.88,77.25,77.25,15.58,62.32,9.35,4.67,4.21,3.8,2.99,2.31,1.33,1.91,1.9,3.64,11.69,10.8,15.84,2.32,1.79,2.54,3.02,1.71,1.45,1.56,0.67,6.23,1.07,1.48,6.23,2.49,36.35,4.15,1.78,28.88,2,24367.82,20179.93,213.45,0.07,33.66,28.68,20.77,11.43,279.74,11763.24,94.92,34.32,92.17,123.29,983.06,836.96,690.86,1630.65,1932.98,1328.32,7427.88,9095.45,5760.31,2662.28,2.15,1
Europe,Romania,Bucharest,35.24,10.17,31.38,48.12,48.12,10.56,42.26,5.49,2.11,2.54,2.53,1.85,1.6,1.53,0.99,1.61,2.7,7.21,5.96,9.48,1.02,1.43,1.37,1.65,0.74,0.75,0.74,0.62,6.34,0.88,1.4,5.02,0.63,16.9,0.58,0.57,6.13,1.72,21339.98,22681.43,117.32,0.08,8.26,45.09,17.93,7.4,471.18,8209.11,71.69,39.2,73.98,91.98,461.55,397.37,333.19,716.655,872.84,560.47,2004.795,2490.88,1518.71,933.79,6.4,1
