Continent,Country,Capital,Cost of Living Index,Rent Index,Groceries Index,Local Purchasing Power Index,Restaurant Price Index,"Meal, Inexpensive Restaurant (USD)","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal) (USD),"Domestic Beer (0.5 liter draught, in restaurants) (USD)","Imported Beer (0.33 liter bottle, in restaurants) (USD)","Cappuccino (regular, in restaurants) (USD)","Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)","Water (0.33 liter bottle, in restaurants) (USD)","Milk (regular), (1 liter) (USD)",Loaf of Fresh White Bread (500g) (USD),"Rice (white), (1kg) (USD)",Eggs (regular) (12) (USD),Local Cheese (1kg) (USD),Chicken Fillets (1kg) (USD),Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD),Apples (1kg) (USD),Banana (1kg) (USD),Oranges (1kg) (USD),Tomato (1kg) (USD),Potato (1kg) (USD),Onion (1kg) (USD),Lettuce (1 head) (USD),"Water (1.5 liter bottle, at the market) (USD)","Bottle of Wine (Mid-Range, at the market) (USD)","Domestic Beer (0.5 liter bottle, at the market) (USD)","Imported Beer (0.33 liter bottle, at the market) (USD)",Cigarettes 20 Pack (Marlboro) (USD),One-way Ticket (Local Transport) (USD),Monthly Pass (Regular Price) (USD),Taxi Start (Normal Tariff) (USD),Taxi 1km (Normal Tariff) (USD),Taxi 1hour Waiting (Normal Tariff) (USD),Gasoline (1 liter) (USD),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)","Fitness Club, Monthly Fee for 1 Adult (USD)",Tennis Court Rent (1 Hour on Weekend) (USD),"Cinema, International Release, 1 Seat (USD)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)","International Primary School, Yearly for 1 Child (USD)",1 Pair of Jeans (Levis 501 Or Similar) (USD),"1 Summer Dress in a Chain Store (Zara, H&M, …) (USD)",1 Pair of Nike Running Shoes (Mid-Range) (USD),1 Pair of Men Leather Business Shoes (USD),Apartment (1 bedroom) in City Centre (USD),Avg rent(1 bedroom),Apartment (1 bedroom) Outside of Centre (USD),Avg rent(3 Bedroom),Apartment (3 bedrooms) in City Centre (USD),Apartment (3 bedrooms) Outside of Centre (USD),Avg Price per SQ/Mtr,Price per Square Meter to Buy Apartment in City Centre (USD),Price per Square Meter to Buy Apartment Outside of Centre (USD),Average Monthly Net Salary (After Tax) (USD),"	Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Data quality
Asia,Pakistan,Islamabad,19.92,3.91,17.81,26.63,26.63,1.34,15.59,3.56,2.23,4.46,1.37,0.24,0.18,0.72,0.46,1.03,1.01,4.29,2.37,3.93,0.93,0.55,0.7,0.57,0.31,0.32,0.31,0.31,1.56,1.21,2.13,1.11,0.2,5.35,0.67,0.2,2.23,1.05,14256.58,17152.18,81.93,0.01,20.18,16.87,5.15,3.12,47.08,945.46,13.28,19.66,54.99,33.88,164.65,135.785,106.92,315.935,400,231.87,501.14,584.36,417.92,215.89,10.83,1
North America,Canada,Ottawa,70.22,34.33,70.01,87.98,87.98,18.61,61.42,8.93,5.21,5.96,3.67,2,1.5,1.82,2.17,3.05,2.87,11.22,11.62,12.16,3.49,1.23,2.95,3.33,1.65,1.81,1.98,1.51,11.17,2.3,2.23,11.17,2.75,92.14,2.98,1.38,17.87,1.43,21219.05,19250.62,121.58,0.21,59.34,52.59,23.93,11.17,976.16,14332.16,53.56,37.23,79.25,104.63,1271.09,1138.1,1005.11,1820.605,2021.86,1619.35,4269.67,4906.31,3633.03,3334.84,5.22,1
Europe,Sweden,Stockholm,71.74,25.86,65.78,98.14,98.14,12.38,76.21,8.57,6.67,6.67,3.87,2.28,2.05,1.43,2.74,2.73,3.62,9.32,11.67,18.14,2.93,2.39,2.49,3.85,1.33,1.24,2.21,1.39,9.53,1.94,2.18,6.62,3.72,92.4,4.76,2.71,49.77,2.13,24767.91,24690.93,98.3,0.14,33.5,41.25,33.58,14.29,132.58,7961.11,86.19,39.66,92.39,122.69,1365.56,1190.84,1016.12,1910.905,2274.5,1547.31,8745.255,10986.5,6504.01,2981.76,2.43,1
Europe,Croatia,Zagreb,48.94,13.38,41.98,47.55,47.55,9.63,46,6.88,2.48,2.75,1.83,2.23,1.61,1.19,1.1,2.38,2.53,8.35,9.05,11.34,1.35,1.43,1.51,2.25,0.96,1.01,0.94,1.03,5.5,1.39,1.85,4.81,0.55,49.52,2.06,0.76,6.19,1.78,25104.54,23837.12,196.8,0.13,24.7,42.97,10.85,6.88,153.3,5787.31,85.07,35.5,82.13,103.73,574.94,496.615,418.29,803.865,941.49,666.24,3098.86,3701.62,2496.1,1119.01,3.18,1
Europe,Netherlands,Amsterdam,75.66,36.06,65.49,87.99,87.99,19.22,83.1,10.39,5.9,5.19,3.54,2.74,2.48,1.24,1.59,2.06,3.69,13.47,9.88,20.85,2.43,1.78,1.89,3.05,1.83,1.17,1.04,1.03,6.75,1.53,1.89,8.52,3.32,103.87,5.19,2.57,47.78,2.22,28034.42,30818.13,277.41,0.12,48.88,42.55,29.54,13.5,1854.29,14399.58,87.56,39.67,98.4,134.73,1769.11,1640.92,1512.73,2573.275,2970.6,2175.95,8032.16,9626.48,6437.84,3606.11,3.04,1
Asia,Sri Lanka,Colombo,31.29,8.23,37.67,19.27,19.27,1.36,10.85,3.25,1.08,1.63,1.46,0.35,0.18,1.15,0.64,0.66,1.77,7.4,4.03,5.89,4.27,0.75,3.06,1.42,1.02,0.74,0.83,0.4,6.78,1.23,1.82,5.15,0.11,4.07,0.27,0.27,0.49,1.17,24401.99,28253.94,23.44,0.01,9.98,9.43,3.73,2.37,26.54,425.68,20.42,12.77,43.92,25.19,295.69,204.365,113.04,393.985,560.22,227.75,1423.14,1732.18,1114.1,156.07,15.81,1
North America,Panama,Panama City,51.43,21.75,52.16,33.09,33.09,8,50,7,2.5,4,3.31,1.66,1.34,1.58,2.14,1.92,2.13,7.45,7.09,8.13,2.98,1.24,2.97,3.22,1.84,1.96,2.26,1.48,10,1.23,1.73,5.9,0.35,27.5,2,1.75,20,1.07,25000,20056.25,98.85,0.16,46.67,39.36,24.17,5.79,358.89,11675,52,43,75.53,91.25,908.95,709.62,510.29,1378.945,1784.21,973.68,1741.56,2180,1303.12,798.95,5.86,1
Europe,Norway,Oslo,100.9,34.68,97.31,83.11,83.11,20.11,108.58,12.06,9.9,9.55,4.55,3.1,2.83,2.06,3.41,3.16,4.05,12.02,13.85,27.09,2.92,2.16,2.89,3.77,2.16,2.59,2.45,2.26,17.09,3.31,4.15,14.58,3.92,81.84,10.41,1.51,50.27,2.18,35187.48,34065.51,239.31,0.16,48.99,45.68,33.56,16.04,332,9538.32,91.19,41.68,101.34,126.29,1405.05,1274.545,1144.04,2059.485,2296.3,1822.67,8419.005,9614.74,7223.27,3567.74,2.78,1
Europe,Finland,Helsinki,73.2,25.95,65.16,91.02,91.02,13.5,83.1,9.35,7.27,8.31,4.24,2.69,1.78,1.02,2.35,2.24,2.45,7.5,10.84,18.08,2.39,1.74,2.28,3.66,1.15,1.46,1.94,1.68,12.46,2.63,3.11,9.87,2.91,67.52,7.27,1.48,55.47,2.32,31160.9,31680.25,106.32,0.08,22.52,38.62,36.63,15.58,394.06,5401.22,94.6,41.06,83.03,133.21,1041.66,935.875,830.09,1763.05,2085.59,1440.51,6720.81,8789.35,4652.27,2834.36,1.27,1
Europe,Moldova,Chisinau,30.35,8.7,24.96,33.43,33.43,6.24,25.99,4.81,1.3,1.82,1.42,0.71,0.5,0.91,0.41,1.25,1.88,7.89,4.31,6.36,0.67,1.4,1.31,1.57,0.55,0.44,1.17,0.61,4.16,0.94,1.6,2.34,0.31,12.16,1.56,0.23,3.12,1.51,15647.42,19650.25,148.01,0.09,9.07,23.99,12.53,6.11,301.15,3234.9,50.34,31.16,88.27,97.09,316.53,273.355,230.18,481.74,558.47,405.01,995.235,1187.69,802.78,453.66,9.74,1
